year;country;house;party_long;party_short;seats;government;colour;x;y;row;theta;NOMBRE;SEXO;FUENTE;TWITTER;COMENTARIO;MANDATO;PROVINCIA
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.707106781;0.707106781;1;2.35619449;DANIELA MARINA VILAR;F;https://twitter.com/danyvilar/status/1027610716906434560;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.882310677;0.935194682;3;2.327105669;CARLOS DANIEL CASTAGNETO;M;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.360345476;1.466103744;8;2.318794578;LUIS RODOLFO TAILHADE;M;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.257808633;1.366344406;7;2.314857745;MARIA ROSA MARTINEZ;F;https://twitter.com/mrmartinez55/status/986254244000002048;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.955900866;1.061635465;4;2.303834613;MARIA JIMENA LOPEZ;F;http://nden.com.ar/nota/3101/jimena_lopez_hay_que_despenalizar_el_aborto_y_que_se_pueda_hacer_en_los_hospitales;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.101921617;1.313219045;6;2.268928028;MIGUEL ANGEL BAZZE;M;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.996903732;1.214730712;5;2.25801972;SILVIA GABRIELA LOSPENNATO;F;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.246979604;1.563662965;8;2.243994753;WALDO EZEQUIEL WOLFF;M;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.140680752;1.46554666;7;2.232184254;SEBASTIAN NICOLAS SALVADOR;M;https://www.lanoticiaweb.com.ar/117607/sebastian-salvador-el-radicalismo-de-la-provincia-goza-de-buena-salud/;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.695727347;0.906689532;2;2.225294796;MARIA DE LAS MERCEDES JOURY;F;https://www.infobae.com/politica/2019/06/26/el-aborto-vuelve-a-dividir-al-gobierno-hasta-se-evaluo-armar-una-paso-entre-verdes-y-celestes/;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.767775332;1.031301248;3;2.210750386;RAUL SEBASTIAN GARCIA DE LUCA;M;https://www.infobae.com/politica/2019/06/26/el-aborto-vuelve-a-dividir-al-gobierno-hasta-se-evaluo-armar-una-paso-entre-verdes-y-celestes/;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.839693218;1.155738563;4;2.199114858;KARINA VERONICA BANFI;F;Voto 2018;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.587785252;0.809016994;1;2.199114858;NESTOR ANTONIO PITROLA;M;plataforma;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.983273891;1.404260647;6;2.181661565;MAXIMILIANO CARLOS FRANCISCO FERRARO;M;https://twitter.com/Maxiferraro/status/1027430625131802624;;;2019 a 2023;CABA
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.126640116;1.652477549;8;2.169194927;MARÍA DOLORES MARTINEZ;F;https://www.nueva-ciudad.com.ar/notas/201906/41027-verdes-y-celestes-quienes-estan-a-favor-y-en-contra-del-aborto-legal-en-las-listas-portenas.html;;;2019 a 2023;CABA
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.873038938;1.306595105;5;2.159844949;FERNANDO EZEQUIEL SOLANAS;M;Voto 2018 (como senador);;;2019 a 2023;CABA
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1.015760865;1.554737745;7;2.149510763;PAULA ANDREA PENACCA;F;https://twitter.com/PaulaPenacca/status/965613407205404672;;;2019 a 2023;CABA
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-1;1.732050808;8;2.094395102;ITAÍ HAGMAN;M;https://twitter.com/ItaiHagman/status/383591656173207552;;;2019 a 2023;CABA
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.857142857;1.484614978;6;2.094395102;VICTORIA ANALIA DONDA PEREZ;F;Voto 2018;;;2019 a 2023;CABA
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.714285714;1.237179148;4;2.094395102;MARIO RAUL NEGRI;M;Voto 2018;;;2019 a 2023;Córdoba
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.642857143;1.113461233;3;2.094395102;EDUARDO GABRIEL FERNANDEZ;M;https://twitter.com/efernandez_2019/status/1027169243111022592;;;2019 a 2023;Córdoba
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.571428571;0.989743319;2;2.094395102;GABRIELA BEATRIZ ESTEVEZ;F;Voto 2018;;;2019 a 2023;Córdoba
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.883902301;1.633308395;7;2.066837272;CLAUDIA ROXANA MARTINEZ;F;http://catolicas.org.ar/comunicado-situacion-del-aborto-no-punible-cordoba/;;;2019 a 2023;Córdoba
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.740766301;1.385876273;5;2.061670179;"JOSE ""PITIN"" RUIZ ARAGON";M;Voto 2018;;;2019 a 2023;Corrientes
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.4539905;0.891006524;1;2.042035225;NANCY SAND;F;http://radioseminare.com/actualidad/nancy-sand-con-sinceridad-sin-hipocresia-decidi-por-el-aborto-legal/;;;2019 a 2023;Corrientes
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.867767478;1.801937736;8;2.019595277;MARÍA LUCILA MASIN;F;Voto 2018;;;2019 a 2023;Chaco
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.724488449;1.553670492;6;2.00712864;SANTIAGO NICOLAS IGON;M;Voto 2018;;;2019 a 2023;Chubut
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.581052347;1.305064939;4;1.989675347;GABRIELA MABEL LENA;F;http://entreriosahora.com/la-diputada-que-habla-de-aborto-legal/;;;2019 a 2023;Entre Ríos
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.746005789;1.700721892;7;1.984163781;LUIS EUGENIO BASTERRA;M;Voto 2018;;;2019 a 2023;Formosa
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.509245413;1.180563566;3;1.978039819;MARIA CAROLINA MOISES;F;Voto 2018;;;2019 a 2023;Jujuy
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.601359679;1.451810694;5;1.963495408;HERNAN PEREZ ARAUJO;M;;https://twitter.com/hperezaraujo/status/1028465681971462144;;2019 a 2023;La Pampa
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.437352494;1.055862323;2;1.963495408;CRISTINA BRITEZ;F;Voto 2018;;;2019 a 2023;Misiones
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.730682049;1.861747497;8;1.944795452;DARIO MARTINEZ;M;Voto 2018;;;2019 a 2023;Neuquén
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.586320246;1.610901636;6;1.919862177;SUSANA GRACIELA LANDRISCINI;F;https://www.elcohetealaluna.com/que-el-senado-oiga/;;;2019 a 2023;Río Negro
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.6030133;1.756517735;7;1.90149029;SERGIO JAVIER WISKY;M;Voto 2018;;;2019 a 2023;Río Negro
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.441452849;1.358652166;4;1.884955592;PABLO GERARDO GONZALEZ;M;https://www.tiemposur.com.ar/nota/178338-para-gonzalez-hay-que-debatir-ideas-y-propuestas-y-no-tanto-marketing-politico;;;2019 a 2023;Santa Cruz
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.309016994;0.951056516;1;1.884955592;MARCOS CLERI;M;Voto 2018;;;2019 a 2023;Santa Fe
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.589510349;1.911145612;8;1.869995627;GERMAN PEDRO MARTINEZ;M;https://twitter.com/GERMANPMARTINEZ/status/412756693114945536;;;2019 a 2023;Santa Fe
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.456161636;1.503763385;5;1.865320638;ENRIQUE ELOY ESTEVEZ;M;https://www.rosarioplus.com/ensacoycorbata/Enrique-Estevez-pidio-a-Contigiani-que-reconsidere-su-postura-sobre-la-ley-del-aborto-20180605-0028.html;;;2019 a 2023;Santa Fe
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.368747013;1.231700802;3;1.861684535;JOSE ANATOLIO OJEDA;M;Voto 2018 (como senador);;;2019 a 2023;Tierra del Fuego
2019;Argentina;Diputados;A favor;A favor;108;1;#32a852;-0.443689792;1.655872845;6;1.832595715;MARIO ALBERTO LEITO;M;https://www.lagaceta.com.ar/nota/814320/actualidad/precandidatos-fijan-postura-ante-discusion-interrupcion-voluntaria-embarazo.html;;;2019 a 2023;Tucumán
2019;Argentina;Diputados;Probablemente a favor;Probablemente a favor;8;1;#74b084;-0.295793194;1.10391523;2;1.832595715;CLAUDIA BEATRIZ ORMACHEA;F;Dirigente feminista, Secretaria Nacional de Derechos Humanos, Género e Igualdad de la Asociación Bancaria. https://www.pagina12.com.ar/202957-te-la-debo;;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;Probablemente a favor;Probablemente a favor;8;1;#74b084;-0.455901619;1.80031478;7;1.818816799;EMILIANO BENJAMIN YACOBITTI;M;https://www.nueva-ciudad.com.ar/notas/201906/41027-verdes-y-celestes-quienes-estan-a-favor-y-en-contra-del-aborto-legal-en-las-listas-portenas.html;;;2019 a 2023;CABA
2019;Argentina;Diputados;Probablemente a favor;Probablemente a favor;8;1;#74b084;-0.445041868;1.949855824;8;1.795195802;ESTELA BEATRIZ HERNANDEZ;F;https://www.elpatagonico.com/diputada-pide-informes-falta-misoprostol-los-hospitales-chubut-n3091052;https://twitter.com/DipEstelaH;;2019 a 2023;Chubut
2019;Argentina;Diputados;Probablemente a favor;Probablemente a favor;8;1;#74b084;-0.297016701;1.397353715;4;1.780235837;BLANCA INES OSUNA;F;https://www.paginapolitica.com/actualidad/aborto-legal-la-postura-de-quienes-son-candidatos-el-domingo.htm;;;2019 a 2023;Entre Ríos
2019;Argentina;Diputados;Probablemente a favor;Probablemente a favor;8;1;#74b084;-0.306570506;1.541234012;5;1.767145868;MARISA UCEDA;F;https://www.mendozapost.com/nota/123723-marisa-uceda-y-el-aborto-legal-el-proyecto-anterior-me-parecia-bueno/;;;2019 a 2023;Mendoza
2019;Argentina;Diputados;Probablemente a favor;Probablemente a favor;8;1;#74b084;-0.29768259;1.688241862;6;1.745329252;JUANA CARMONA;F;https://twitter.com/juanaloucarmona/status/1158480063127572480;;;2019 a 2023;Mendoza
2019;Argentina;Diputados;Probablemente a favor;Probablemente a favor;8;1;#74b084;-0.223261943;1.266181397;3;1.745329252;ALEJANDRO CACACE;M;http://lagaceta-digital.com.ar/la-postura-de-los-candidatos-a-diputados-nacional-por-san-luis-con-respecto-al-aborto/;;;2019 a 2023;San Luis
2019;Argentina;Diputados;Probablemente a favor;Probablemente a favor;8;1;#74b084;-0.305675668;1.831813849;7;1.736143309;NILDA MABEL CARRIZO;F;https://twitter.com/mabelcarrizotuc/status/1101136589865013249;;;2019 a 2023;Tucumán
2019;Argentina;Diputados;No se expresó;No se expresó;47;0;#262626;-0.156434465;0.987688341;1;1.727875959;"HÉCTOR ""GALLEGO"" FERNÁNDEZ *";M;Voto 2018;https://twitter.com/GallegoPM;*Reemplazaría a Fernando Espinoza, nuevo intendente de La Matanza (PBA);2017 a 2021;Buenos Aires
2019;Argentina;Diputados;No se expresó;No se expresó;47;0;#262626;-0.298084532;1.977661652;8;1.720395977;ADRIANA CÁCERES *;F;Voto 2018;https://twitter.com/AdriCCaceres;*Reemplazaría a Guillermo Montenegro, nuevo intendente de Gral. Pueyrredón (PBA);2017 a 2021;Buenos Aires
2019;Argentina;Diputados;No se expresó;No se expresó;47;0;#262626;-0.149172791;1.133079842;2;1.701696021;BERNARDO JOSÉ HERRERA *;M;Voto 2018;NA;*Reemplazó en 2019 al fallecido Hugo Infante;2017 a 2021;Santiago del Estero
2019;Argentina;Diputados;No se expresó;No se expresó;47;0;#262626;-0.149326376;1.420745565;4;1.675516082;MARÍA LUISA MONTOTO DE ROGEL *;F;Voto 2018;NA;*Reemplazaría a Claudia Ledesma, nueva senadora;2017 a 2021;Santiago del Estero
2019;Argentina;Diputados;No se expresó;No se expresó;47;1;#262626;-0.154026935;1.563861713;5;1.668971097;LILIANA YAMBRUN;F;;NA;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;No se expresó;No se expresó;47;1;#262626;-0.149409845;1.70776234;6;1.658062789;ALICIA NOEMI APARICIO;F;;NA;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;No se expresó;No se expresó;47;1;#262626;-0.153361642;1.850799773;7;1.653469818;MARIA LUJAN REY;F;;https://twitter.com/MariaLujan_Rey;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;No se expresó;No se expresó;47;1;#262626;-0.149460187;1.994407594;8;1.645596152;MARIANA STILMAN;F;;https://twitter.com/MarianStil;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;No se expresó;No se expresó;47;1;#262626;-0.074757637;1.283539061;3;1.628973969;MONICA EDITH FRADE;F;;https://twitter.com/monicafrade2;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;No se expresó;No se expresó;47;1;#262626;1.22E-16;2;8;1.570796327;"ALEJANDRO ""TOPO"" RODRIGUEZ";M;;https://twitter.com/TOPOarg;;2019 a 2023;Buenos Aires
2019;Argentina;Diputados;No se expresó;No se expresó;47;1;#262626;1.14E-16;1.857142857;7;1.570796327;MARIANA DE JESUS ZUVIC;F;;https://twitter.com/MarianaZuvic;;2019 a 2023;CABA
2019;Argentina;Diputados;No se expresó;No se expresó;47;1;#262626;1.05E-16;1.714285714;6;1.570796327;LUCIA CORPACCI;F;;https://twitter.com/LuciaCorpacci;;2019 a 2023;Catamarca
2019;Argentina;Diputados;No se expresó;No se expresó;47;1;#262626;9.62E-17;1.571428571;5;1.570796327;VICTOR HUGO ROMERO;M;;NA;;2019 a 2023;Córdoba
2019;Argentina;Diputados;No se expresó;No se expresó;47;1;#262626;8.75E-17;1.428571429;4;1.570796327;CARLOS MARIO GUTIERREZ;M;;https://twitter.com/Leg_Gutierrez;;2019 a 2023;Córdoba
