PROVINCIA;FRENTE;NOMBRE;POSTURA;PREGUNTALE
Mendoza;TODOS;MARISA UCEDA;Probablemente a favor;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40MarisaUcedaOk!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20Es%20cierto%20que%20estás%20a%20favor?%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Mendoza;TODOS;ALEJANDRO BERMEJO;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40AleBermejoMza!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Mendoza;TODOS;JUANA CARMONA;Probablemente a favor;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40juanaloucarmona!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20Es%20cierto%20que%20estás%20a%20favor?%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Mendoza;JxC;JIMENA LATORRE;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40JimehLatorre!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Misiones;TODOS;"""CACHO"" BARBARO";No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40CachoBarbaro!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Misiones;JxC;ALFREDO O.  SCHIAVONI;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40alfreschiavoni!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Misiones;LOCAL;DIEGO HORACIO SARTORI;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40SartoriDiegoH!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Río Negro;TODOS;MARTIN IGNACIO SORIA;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40SoriaEnAccion!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Salta;TODOS;LUCAS JAVIER GODOY;Probablemente en contra;No disponible
Salta;TODOS;NOELIA EDITH BONETTO;No se expresó;No disponible
